name,country_id
Afghanistan ,0
Albania ,1
Algeria ,2
American Samoa ,3
Andorra ,4
Angola ,5
Anguilla ,6
Antigua & Barbuda ,7
Argentina ,8
Armenia ,9
Aruba ,10
Australia ,11
Austria ,12
Azerbaijan ,13
"Bahamas, The ",14
Bahrain ,15
Bangladesh ,16
Barbados ,17
Belarus ,18
Belgium ,19
Belize ,20
Benin ,21
Bermuda ,22
Bhutan ,23
Bolivia ,24
Bosnia & Herzegovina ,25
Botswana ,26
Brazil ,27
British Virgin Is. ,28
Brunei ,29
Bulgaria ,30
Burkina Faso ,31
Burma ,32
Burundi ,33
Cambodia ,34
Cameroon ,35
Canada ,36
Cape Verde ,37
Cayman Islands ,38
Central African Rep. ,39
Chad ,40
Chile ,41
China ,42
Colombia ,43
Comoros ,44
"Congo, Dem. Rep. ",45
"Congo, Repub. of the ",46
Cook Islands ,47
Costa Rica ,48
Cote d'Ivoire ,49
Croatia ,50
Cuba ,51
Cyprus ,52
Czech Republic ,53
Denmark ,54
Djibouti ,55
Dominica ,56
Dominican Republic ,57
East Timor ,58
Ecuador ,59
Egypt ,60
El Salvador ,61
Equatorial Guinea ,62
Eritrea ,63
Estonia ,64
Ethiopia ,65
Faroe Islands ,66
Fiji ,67
Finland ,68
France ,69
French Guiana ,70
French Polynesia ,71
Gabon ,72
"Gambia, The ",73
Gaza Strip ,74
Georgia ,75
Germany ,76
Ghana ,77
Gibraltar ,78
Greece ,79
Greenland ,80
Grenada ,81
Guadeloupe ,82
Guam ,83
Guatemala ,84
Guernsey ,85
Guinea ,86
Guinea-Bissau ,87
Guyana ,88
Haiti ,89
Honduras ,90
Hong Kong ,91
Hungary ,92
Iceland ,93
India ,94
Indonesia ,95
Iran ,96
Iraq ,97
Ireland ,98
Isle of Man ,99
Israel ,100
Italy ,101
Jamaica ,102
Japan ,103
Jersey ,104
Jordan ,105
Kazakhstan ,106
Kenya ,107
Kiribati ,108
"Korea, North ",109
"Korea, South ",110
Kuwait ,111
Kyrgyzstan ,112
Laos ,113
Latvia ,114
Lebanon ,115
Lesotho ,116
Liberia ,117
Libya ,118
Liechtenstein ,119
Lithuania ,120
Luxembourg ,121
Macau ,122
Macedonia ,123
Madagascar ,124
Malawi ,125
Malaysia ,126
Maldives ,127
Mali ,128
Malta ,129
Marshall Islands ,130
Martinique ,131
Mauritania ,132
Mauritius ,133
Mayotte ,134
Mexico ,135
"Micronesia, Fed. St. ",136
Moldova ,137
Monaco ,138
Mongolia ,139
Montserrat ,140
Morocco ,141
Mozambique ,142
Namibia ,143
Nauru ,144
Nepal ,145
Netherlands ,146
Netherlands Antilles ,147
New Caledonia ,148
New Zealand ,149
Nicaragua ,150
Niger ,151
Nigeria ,152
N. Mariana Islands ,153
Norway ,154
Oman ,155
Pakistan ,156
Palau ,157
Panama ,158
Papua New Guinea ,159
Paraguay ,160
Peru ,161
Philippines ,162
Poland ,163
Portugal ,164
Puerto Rico ,165
Qatar ,166
Reunion ,167
Romania ,168
Russia ,169
Rwanda ,170
Saint Helena ,171
Saint Kitts & Nevis ,172
Saint Lucia ,173
St Pierre & Miquelon ,174
Saint Vincent and the Grenadines ,175
Samoa ,176
San Marino ,177
Sao Tome & Principe ,178
Saudi Arabia ,179
Senegal ,180
Serbia ,181
Seychelles ,182
Sierra Leone ,183
Singapore ,184
Slovakia ,185
Slovenia ,186
Solomon Islands ,187
Somalia ,188
South Africa ,189
Spain ,190
Sri Lanka ,191
Sudan ,192
Suriname ,193
Swaziland ,194
Sweden ,195
Switzerland ,196
Syria ,197
Taiwan ,198
Tajikistan ,199
Tanzania ,200
Thailand ,201
Togo ,202
Tonga ,203
Trinidad & Tobago ,204
Tunisia ,205
Turkey ,206
Turkmenistan ,207
Turks & Caicos Is ,208
Tuvalu ,209
Uganda ,210
Ukraine ,211
United Arab Emirates ,212
United Kingdom ,213
United States ,214
Uruguay ,215
Uzbekistan ,216
Vanuatu ,217
Venezuela ,218
Vietnam ,219
Virgin Islands ,220
Wallis and Futuna ,221
West Bank ,222
Western Sahara ,223
Yemen ,224
Zambia ,225
Zimbabwe ,226
